 Am  Leipziger  Turm  in  Halle  a/S.   | 1898 | Leipziger  Turm,  Halle,  Saxony-Anhalt,  Germany | 51.4802277 | 11.976407 
 Argyle  Street   | 1898 | Glasgow,  Strathclyde,  Scotland,  UK | 55.8317061 | -4.0333295 
 'Graf  Waldersee'   | 1899 | New  York  City,  New  York,  USA | 40.7127281 | -74.0060152 
 'Imperial  Limited.'  Canadian  Pacific  R.R.   | 1899 | Vancouver,  British  Columbia,  Canada | 49.2608724 | -123.1139529 
 'Sagasta',  Admiral  Dewey's  Pet  Pig   | 1899 | Nice,  Alpes-Maritimes,  France | 43.7009358 | 7.2683912 
 43rd  Rifles;  Royal  Canadian  Infantry   | 1899 | Ottawa,  Ontario,  Canada | 45.421106 | -75.690308 
 A  Basuto  Indaba   | 1899 | South  Africa | -28.8166236 | 24.991639 
 A  Brighton  Fire  Drill   | 1899 | Brighton,  East  Sussex,  England,  UK | 50.836257950000004 | -0.29412398246015004 
 A  Dip  in  the  Mediterranean   | 1899 | Villefranche-sur-Mer,  Alpes-Maritimes,  France | 43.7042317 | 7.309969 
 A  Zulu  War  Dance   | 1899 | Southend-on-Sea,  Essex,  England,  UK | 51.57036905 | 0.708620337888284 
 'Courier'   | 1900 | Boston,  Massachusetts,  USA | 42.3602534 | -71.0582912 
 16th  Field  Battery,  Bombay,  in  Action   | 1900 | Mumbai,  Maharashtra,  India | 19.0759899 | 72.8773928 
 20,000  Employees  Entering  Lord  Armstrong's  Elswick  Works,  Newcastle-upon-Tyne   | 1900 | Newcastle-upon-Tyne,  Tyne  &  Wear,  England,  UK | 54.9738474 | -1.6131572 
 25th  Infantry   | 1900 | Philippines | 12.7503486 | 122.7312101 
 A  Barber's  Shop  in  Pekin   | 1900 | Beijing,  China | 39.9065084 | 116.3912391 
 A  Bit  of  Natal  Scenery   | 1900 | KwaZulu-Natal,  South  Africa | -28.503833 | 30.8875009 
 A  Cadet  Cavalry  Charge   | 1900 | Detroit,  Michigan,  USA | 42.3315509 | -83.0466403 
 American  Falls  from  Top  of  Canadian  Shore   | 1901 | Ontario,  Canada | 50.000678 | -86.000977 
 An  Oriental  Highway   | 1901 | Tianjin,  China | 39.0856735 | 117.1951073 
 Anglo-Abyssinian  Expedition  in  Somaliland   | 1901 | Somalia | 8.3676771 | 49.083416 
 Armed  Guard  of  British  Soldiers  Conducting  Boer  Prisoners   | 1901 | South  Africa | -28.8166236 | 24.991639 
 100  Yards  Flat  Race   | 1902 | Stamford  Bridge  Stadium,  Hammersmith,  London,  England,  UK | 51.4809373 | -0.1883384568023263 
 A  Blast  in  a  Gravel  Bed   | 1902 | Berlin,  Germany | 52.5170365 | 13.3888599 
 A  Cable  Road  in  San  Francisco,  Cal.   | 1902 | San  Francisco,  California,  USA | 37.7790262 | -122.4199061 
 A  Dance  by  Kanaka  Indians   | 1902 | Paris,  France | 48.8566969 | 2.3514616 
 A  Devastated  City   | 1902 | Paterson,  New  Jersey,  USA | 40.9167654 | -74.171811 
 A  Flying  Wedge   | 1902 | Kiel,  Schleswig-Holstein,  Germany | 54.3227085 | 10.135555 
 A  Hurdle  Race   | 1902 | Dresden,  Saxony,  Germany | 51.0493286 | 13.7381437 
 A  Rescue  at  Sea   | 1902 | Kiel,  Schleswig-Holstein,  Germany | 54.3227085 | 10.135555 
 Ancient  Egyptian  Water  Wheel   | 1902 | Egypt | 26.2540493 | 29.2675469 
 Arabian  Bullock  Well  at  Carthage   | 1902 | Algiers,  Algeria | 28.0000272 | 2.9999825 
 Argentine  Fox  Hunt   | 1902 | Argentina | -34.9964963 | -64.9672817 
 Arrival  of  Tourists  at  Base  of  Great  Pyramid   | 1902 | Giza,  Egypt | 29.9870753 | 31.2118063 
 $25,000  Clean  Up  on  No.  16,  Eldorado   | 1903 | Bonanza  Creek,  Alaska,  USA | 65.216611 | -142.6431477 
 'Old  Faithful,'  Yosemite  Valley   | 1903 | Yellowstone  National  Park,  Wyoming,  USA | 44.6200885 | -110.56075745943113 
 A  Daring  Daylight  Burglary   | 1903 | Sheffield,  South  Yorkshire,  England,  UK | 53.3806626 | -1.4702278 
 A  Devonshire  Fair   | 1903 | Devon,  England,  UK | 50.724165 | -3.660795843955193 
 A  Funny  Story  on  the  Beach   | 1903 | Coney  Island,  Brooklyn,  New  York  City,  New  York,  USA | 40.57592745 | -73.99219592886062 
 A  Hot  Time  on  the  Bathing  Beach   | 1903 | Chicago,  Illinois,  USA | 41.8755616 | -87.6244212 
 A  Jewish  Dance  at  Jerusalem   | 1903 | Jerusalem,  Israel | 31.79592425 | 35.21198075969497 
 A  Kennel  Club  Parade   | 1903 | London,  England,  UK | 51.5073219 | -0.1276474 
 A  Norwegian  Waterfall   | 1903 | Voss,  Hordaland,  Norway | 60.627632250000005 | 6.402964745393655 
 A  Threshing  Outfit  at  Work  in  Manitoba   | 1903 | Manitoba,  Canada | 55.001251 | -97.001038 
 A  Tobacco  Farm  at  Crapits   | 1903 | Bulgaria | 42.6073975 | 25.4856617 
 4th  Japanese  Light  Infantry  Cavalry   | 1904 | Japan | 36.5748441 | 139.2394179 
 A  Brush  Between  Cowboys  and  Indians   | 1904 | Bliss,  Oklahoma,  USA | 36.5475404 | -97.1444869 
 A  Muddy  Street,  Tien-Tsin,  China   | 1904 | Tientsin,  China | 39.0856735 | 117.1951073 
 After  the  Siege  Tien-Tsin,  Native  City,  China   | 1904 | Tientsin,  China | 39.0856735 | 117.1951073 
 Along  the  Waterfront  of  Stevenston   | 1904 | Stevenston,  North  Ayrshire,  Scotland,  UK | 55.6405878 | -4.756814 
 An  Insurgent  Band  in  Cover   | 1904 | Macedonia | 41.6171214 | 21.7168387 
 Approaching  Pallisier   | 1904 | Canada | 61.0666922 | -107.991707 
 Arrival  at  Singapore   | 1904 | Singapore | 1.357107 | 103.8194992 
 Arrival  at  Southampton  of  Joseph  Chamberlain  MP   | 1903 | Southampton,  Hampshire,  England,  UK | 50.90472085 | -1.3587998082396187 
 Arrival  at  Tokio  Station  of  Japanese  Soldiers   | 1904 | Tokyo,  Japan | 35.6828387 | 139.7594549 
 Arrival  of  General  Kuropatkin  at  Irkutsk   | 1904 | Irkutsk,  Russia | 52.289597 | 104.280586 
 10  vistas  de  los  lugares  m�s  po�ticos  y  concurridos  de  Orizaba   | 1905 | Orizaba,  Veracruz,  Mexico | 18.849722 | -97.103611 
 A  Kentucky  Feud   | 1905 | Sound  Beach,  Connecticut,  USA | 41.0302519 | -73.5671816 
 A  Trip  to  Salt  Lake  City   | 1905 | Salt  Lake  City,  Utah,  USA | 40.7596198 | -111.8867975 
 Arrival  of  Train  at  Oberammergau   | 1905 | Oberammergau,  Bavaria,  Germany | 47.5966949 | 11.0673611 
 Ascot  Sunday  at  Boulter's  Lock   | 1905 | Maidenhead,  Berkshire,  England,  UK | 51.40801045 | -1.2830416451909068 
